Date,Temp
1869/09,-0.185909091
1869/10,-0.423727273
1869/11,-0.375363636
1869/12,-0.355454545
1870/01,-0.08
1870/02,-0.452818182
1870/03,-0.406818182
1870/04,-0.212636364
1870/05,-0.167363636
1870/06,-0.210909091
1870/07,0.015545455
1870/08,-0.264818182
1870/09,-0.264363636
1870/10,-0.394454545
1870/11,-0.163090909
1870/12,-0.726636364
1871/01,-0.527090909
1871/02,-0.546909091
1871/03,0.010545455
1871/04,-0.143636364
1871/05,-0.317
1871/06,-0.224818182
1871/07,-0.010727273
1871/08,-0.223181818
1871/09,-0.458727273
1871/10,-0.481727273
1871/11,-0.541363636
1871/12,-0.564818182
1872/01,-0.307090909
1872/02,-0.405454545
1872/03,-0.473909091
1872/04,-0.149454545
1872/05,-0.041909091
1872/06,-0.209818182
1872/07,-0.114909091
1872/08,-0.030545455
1872/09,-0.128090909
1872/10,-0.226
1872/11,-0.244
1872/12,-0.425727273
1873/01,-0.018
1873/02,-0.346636364
1873/03,-0.278454545
1873/04,-0.520909091
1873/05,-0.413090909
1873/06,-0.257090909
1873/07,-0.161363636
1873/08,-0.160181818
1873/09,-0.356545455
1873/10,-0.402363636
1873/11,-0.465727273
1873/12,-0.277545455
1874/01,0.052
1874/02,-0.443818182
1874/03,-0.564909091
1874/04,-0.505727273
1874/05,-0.466909091
1874/06,-0.459545455
1874/07,-0.174181818
1874/08,-0.371
1874/09,-0.214
1874/10,-0.438
1874/11,-0.502454545
1874/12,-0.407181818
1875/01,-0.577727273
1875/02,-0.616363636
1875/03,-0.600545455
1875/04,-0.462818182
1875/05,-0.178181818
1875/06,-0.235181818
1875/07,-0.301727273
1875/08,-0.185545455
1875/09,-0.276181818
1875/10,-0.373636364
1875/11,-0.501181818
1875/12,-0.496909091
1876/01,-0.311545455
1876/02,-0.267363636
1876/03,-0.386272727
1876/04,-0.299818182
1876/05,-0.534545455
1876/06,-0.285818182
1876/07,-0.134636364
1876/08,-0.242181818
1876/09,-0.436454545
1876/10,-0.387454545
1876/11,-0.575727273
1876/12,-0.711454545
1877/01,-0.327363636
1877/02,0.054636364
1877/03,-0.295
1877/04,-0.325909091
1877/05,-0.452636364
1877/06,-0.089909091
1877/07,0.008727273
1877/08,0.148363636
1877/09,0.026181818
1877/10,0.054272727
1877/11,0.104454545
1877/12,0.173181818
1878/01,0.171818182
1878/02,0.403090909
1878/03,0.339181818
1878/04,0.323090909
1878/05,-0.088
1878/06,0.013909091
1878/07,-0.051
1878/08,-0.025181818
1878/09,0.015818182
1878/10,-0.12
1878/11,-0.203090909
1878/12,-0.360272727
1879/01,-0.198818182
1879/02,-0.156545455
1879/03,-0.100909091
1879/04,-0.214545455
1879/05,-0.213636364
1879/06,-0.271909091
1879/07,-0.234454545
1879/08,-0.168181818
1879/09,-0.214272727
1879/10,-0.120818182
1879/11,-0.386090909
1879/12,-0.517818182
1880/01,-0.064181818
1880/02,-0.177090909
1880/03,-0.107363636
1880/04,-0.145818182
1880/05,-0.245090909
1880/06,-0.309545455
1880/07,-0.250454545
1880/08,-0.116272727
1880/09,-0.234545455
1880/10,-0.386818182
1880/11,-0.407
1880/12,-0.296727273
1881/01,-0.364818182
1881/02,-0.239363636
1881/03,-0.188454545
1881/04,-0.133363636
1881/05,-0.032909091
1881/06,-0.23
1881/07,-0.150272727
1881/08,-0.127
1881/09,-0.245727273
1881/10,-0.283090909
1881/11,-0.341181818
1881/12,-0.137636364
1882/01,0.113454545
1882/02,-0.011
1882/03,-0.054727273
1882/04,-0.283
1882/05,-0.376090909
1882/06,-0.319
1882/07,-0.185363636
1882/08,-0.221272727
1882/09,-0.158090909
1882/10,-0.335818182
1882/11,-0.313727273
1882/12,-0.463181818
1883/01,-0.411545455
1883/02,-0.321818182
1883/03,-0.344272727
1883/04,-0.392818182
1883/05,-0.255
1883/06,-0.119272727
1883/07,-0.195090909
1883/08,-0.209909091
1883/09,-0.280090909
1883/10,-0.380636364
1883/11,-0.304909091
1883/12,-0.324727273
1884/01,-0.420090909
1884/02,-0.218181818
1884/03,-0.460454545
1884/04,-0.529818182
1884/05,-0.395272727
1884/06,-0.414
1884/07,-0.425818182
1884/08,-0.410545455
1884/09,-0.343090909
1884/10,-0.322
1884/11,-0.559363636
1884/12,-0.416181818
1885/01,-0.510272727
1885/02,-0.411636364
1885/03,-0.485636364
1885/04,-0.471818182
1885/05,-0.524363636
1885/06,-0.489181818
1885/07,-0.311
1885/08,-0.510727273
1885/09,-0.334181818
1885/10,-0.248363636
1885/11,-0.262090909
1885/12,-0.154545455
1886/01,-0.403090909
1886/02,-0.456818182
1886/03,-0.416181818
